form	lemma	POS	morph
སྐབས་	སྐབས་	NOUN
བཞི་པ་	བཞི་པ་	ADJ
།		PUNCT
རྣམ་	རྣམ་	NOUN
རྫོགས་	རྫོགས་	VERB
སྦྱོར་བ་	སྦྱོར་བ་	VERB
།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
ཐབས་	ཐབས་	NOUN
སྦྱོར་བ་	སྦྱོར་བ་	VERB
བཞི་	བཞི་	NUM
ལ་	ལ་	PART
གཉིས་	གཉིས་	NUM
ཏེ་	སྟེ་	PART
།		PUNCT
དབང་	དབང་	NOUN
དུ་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
རྒྱུ་འབྲས་	རྒྱུ་འབྲས་	NOUN
དང་	དང་	NO_POS
།		PUNCT
བརྟན་པ་	བརྟན་པ་	VERB
རྒྱུ་འབྲས་	རྒྱུ་འབྲས་	NOUN
སོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
དབང་	དབང་	NOUN
དུ་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
རྒྱུ་འབྲས་	རྒྱུ་འབྲས་	NOUN
ལ་	ལ་	PART
གཉིས་	གཉིས་	NUM
ཏེ་	སྟེ་	PART
།		PUNCT
དབང་	དབང་	NOUN
དུ་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
འི་	གི་	PART
རྒྱུ་	རྒྱུ་	NOUN
རྣམ་ཀུན་	རྣམ་ཀུན་	NO_POS
།		PUNCT
དབང་	དབང་	NOUN
གྱུར་	གྱུར་	VERB
ཐོབ་པ་	ཐོབ་པ་	VERB
རྩེ་མོ་	རྩེ་མོ་	NOUN
འི་	གི་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
དབང་	དབང་	NOUN
དུ་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
འི་	གི་	PART
རྣམ་ཀུན་	རྣམ་ཀུན་	NO_POS
ལ་	ལ་	PART
གཉིས་	གཉིས་	NUM
ཏེ་	སྟེ་	PART
།		PUNCT
སྦྱོར་བ་	སྦྱོར་བ་	VERB
སྤྱི་		
བསྟན་པ་	བསྟན་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
ཁྱད་པར་ཅན་	ཁྱད་པར་ཅན་	ADJ
ནོ་	གོ་	PART
།།		PUNCT
དང་པོ་	དང་པོ་	ADJ
སྦྱོར་བ་	སྦྱོར་བ་	VERB
སྤྱི་		
བསྟན་པ་	བསྟན་པ་	VERB
ལ་	ལ་	PART
བཞི་	བཞི་	NUM
།		PUNCT
སྦྱོར་བ་	སྦྱོར་བ་	VERB
འི་	གི་	PART
ཡུལ་	ཡུལ་	NOUN
རྣམ་པ་	རྣམ་པ་	NOUN
།		PUNCT
བསྒོམ་	བསྒོམ་	VERB
མཁན་	མཁན་	PROPN
གང་ཟག་	གང་ཟག་	NOUN
།		PUNCT
སྦྱོར་བ་	སྦྱོར་བ་	VERB
འི་	གི་	PART
རབ་	རབ་	ADV
དབྱེ་	དབྱེ་	VERB
།		PUNCT
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
སོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
སྦྱོར་བ་	སྦྱོར་བ་	VERB
འི་	གི་	PART
ཡུལ་	ཡུལ་	NOUN
རྣམ་པ་	རྣམ་པ་	NOUN
ལ་	ལ་	PART
གཉིས་	གཉིས་	NUM
།		PUNCT
མདོ་	མདོ་	NOUN
ར་	ལ་	PART
བསྟན་	བསྟན་	VERB
།		PUNCT
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
བཤད་པ་	བཤད་པ་	VERB
འོ་	གོ་	PART
།།		PUNCT
དང་པོ་	དང་པོ་	ADJ
མདོ་	མདོ་	NOUN
ར་	ལ་	PART
བསྟན་པ་	བསྟན་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
གཞི་ཤེས་པ་	གཞི་ཤེས་པ་	NO_POS
ཡི་	གི་	PART
བྱེ་བྲག་	བྱེ་བྲག་	NOUN
རྣམས་	རྣམས་	DET
།།		PUNCT
རྣམ་པ་	རྣམ་པ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་	བྱ་	VERB
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
དེ་	སྟེ་	PART
།།		PUNCT
ཀུན་མཁྱེན་	ཀུན་མཁྱེན་	OTHER
ཉིད་	ཉིད་	DET
ནི་	ནི་	NO_POS
རྣམ་	རྣམ་	NOUN
གསུམ་	གསུམ་	NUM
ཕྱི་	ཕྱི་	OTHER
།།		PUNCT
དེ་	སྟེ་	PART
ནི་	ནི་	NO_POS
རྣམ་པ་	རྣམ་པ་	NOUN
གསུམ་	གསུམ་	NUM
དུ་	ལ་	PART
འདོད་	འདོད་	VERB
།།		PUNCT
		
ཅེས་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
བཤད་པ་	བཤད་པ་	VERB
ལ་	ལ་	PART
གསུམ་	གསུམ་	NUM
།		PUNCT
གཞི་ཤེས་	གཞི་ཤེས་	NO_POS
མདོ་	མདོ་	NOUN
བཞིན་	བཞིན་	NOUN
བདེན་	བདེན་	VERB
བཞི་	བཞི་	NUM
ལ་	ལ་	PART
སྦྱར་བ་	སྦྱར་བ་	VERB
ཉི་ཤུ་	ཉི་ཤུ་	NUM
རྩ་	རྩ་	NUM
བདུན་	བདུན་	NUM
དང་	དང་	NO_POS
།		PUNCT
ལམ་ཤེས་	ལམ་ཤེས་	NO_POS
ཀྱི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
སོ་	གོ་	PART
དྲུག་	དྲུག་	NUM
བསྟན་པ་	བསྟན་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
རྣམ་མཁྱེན་	རྣམ་མཁྱེན་	NOUN
གྱི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
གཞི་ཤེས་	གཞི་ཤེས་	NO_POS
མདོ་	མདོ་	NOUN
བཞིན་	བཞིན་	NOUN
བདེན་	བདེན་	VERB
བཞི་	བཞི་	NUM
ལ་	ལ་	PART
སྦྱར་བ་	སྦྱར་བ་	VERB
ཉི་ཤུ་	ཉི་ཤུ་	NUM
རྩ་	རྩ་	NUM
བདུན་	བདུན་	NUM
ནི་	ནི་	NO_POS
།		PUNCT
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ན་	ནས་	PART
བཟུང་	བཟུང་	NO_POS
སྟེ་	སྟེ་	PART
།།		PUNCT
མི་གཡོ་བ་	མི་གཡོ་བ་	NO_POS
ཡི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
འི་	གི་	PART
བ་	བ་	NOUN
།།		PUNCT
བདེན་པ་	བདེན་པ་	VERB
སོ་སོ་	སོ་སོ་	PRON
ལ་	ལ་	PART
བཞི་	བཞི་	NUM
དང་	དང་	NO_POS
།།		PUNCT
ལམ་	གམ་	PART
ལ་	ལ་	PART
དེ་	སྟེ་	PART
ནི་	ནི་	NO_POS
བཅོ་ལྔ་	བཅོ་ལྔ་	NO_POS
ར་	ལ་	PART
བཤད་	བཤད་	VERB
།།		PUNCT
		
ཅེས་	ཅེས་	PART
སོ་	གོ་	PART
།།		PUNCT
